# time_s X_M Y_M Z_M
7.150000000000000000e+01 5.023569081100300751e-11 2.525308495079101054e-05 2.334261105655603359e-08
7.154999999999999716e+01 5.024027576080613731e-11 2.505323915222912987e-05 2.334442468746269660e-08
7.160000000000000853e+01 5.024489948501833114e-11 2.485497518007722591e-05 2.334625435141298025e-08
7.165000000000000568e+01 5.024956229576757239e-11 2.465828050727637626e-05 2.334810014915036278e-08
7.170000000000000284e+01 5.025426450773235890e-11 2.446314270552809862e-05 2.334996218325199324e-08
7.175000000000000000e+01 5.025900643814280808e-11 2.426954944441455115e-05 2.335184055803290070e-08
7.179999999999999716e+01 5.026378840678181364e-11 2.407748849051843820e-05 2.335373537945019015e-08
7.185000000000000853e+01 5.026861073816948742e-11 2.388694771067297065e-05 2.335564675793225168e-08
7.190000000000000568e+01 5.027347377195755621e-11 2.369791509074298854e-05 2.335757482220722516e-08
7.195000000000000284e+01 5.027837782963938103e-11 2.351037867176797053e-05 2.335951967460588225e-08
7.200000000000000000e+01 5.028332324429401495e-11 2.332432660534667225e-05 2.336148143081346495e-08
7.204999999999999716e+01 5.028831035200985221e-11 2.313974713653101811e-05 2.336346020828229803e-08
7.210000000000000853e+01 5.029333949191372826e-11 2.295662860299892621e-05 2.336545612617346622e-08
7.215000000000000568e+01 5.029841100620003263e-11 2.277495943422740089e-05 2.336746930529849791e-08
7.220000000000000284e+01 5.030352524114058657e-11 2.259472815484698648e-05 2.336949986992105393e-08
7.225000000000000000e+01 5.030868255082079815e-11 2.241592339962222261e-05 2.337154795472941154e-08
7.229999999999999716e+01 5.031388328452513859e-11 2.223853385871057804e-05 2.337361368079835766e-08
7.235000000000000853e+01 5.031912779822659042e-11 2.206254832570337103e-05 2.337569717726639316e-08
7.240000000000000568e+01 5.032441645128953794e-11 2.188795568261538328e-05 2.337779857496888728e-08
7.245000000000000284e+01 5.032974960650991774e-11 2.171474489910455620e-05 2.337991800640071555e-08
7.250000000000000000e+01 5.033512763015539514e-11 2.154290503169214467e-05 2.338205560567890101e-08
7.254999999999999716e+01 5.034055088899775036e-11 2.137242522698053757e-05 2.338421150956218711e-08
7.260000000000000853e+01 5.034601974132165140e-11 2.120329473287760309e-05 2.338638586058742861e-08
7.265000000000000568e+01 5.035153457012360614e-11 2.103550285374264174e-05 2.338857879537980909e-08
7.270000000000000284e+01 5.035709575262446307e-11 2.086903899018306393e-05 2.339079045534328336e-08
7.275000000000000000e+01 5.036270366922998746e-11 2.070389262641762391e-05 2.339302098348843919e-08
7.279999999999999716e+01 5.036835870354085861e-11 2.054005332953645526e-05 2.339527052440574287e-08
7.285000000000000853e+01 5.037406124236268002e-11 2.037751074876111983e-05 2.339753922423876843e-08
7.290000000000000568e+01 5.037981167729139383e-11 2.021625461891228266e-05 2.339982723167867714e-08
7.295000000000000284e+01 5.038561040845926517e-11 2.005627476964673506e-05 2.340213470035920315e-08
7.300000000000000000e+01 5.039145782956668058e-11 1.989756108471734940e-05 2.340446177912071789e-08
7.304999999999999716e+01 5.039735434191674058e-11 1.974010353868679043e-05 2.340680862107449831e-08
7.310000000000000853e+01 5.040330035029767083e-11 1.958389218516472138e-05 2.340917538090039738e-08
7.315000000000000568e+01 5.040929626300707540e-11 1.942891715610606081e-05 2.341156221482931769e-08
7.320000000000000284e+01 5.041534249187616404e-11 1.927516866110886348e-05 2.341396928062567533e-08
7.325000000000000000e+01 5.042143945863733045e-11 1.912263699185196662e-05 2.341639673926587831e-08
7.329999999999999716e+01 5.042758760611978331e-11 1.897131253044415303e-05 2.341884475790765022e-08
7.335000000000000853e+01 5.043378734632739987e-11 1.882118570663532292e-05 2.342131349598374110e-08
7.340000000000000568e+01 5.044003911065900000e-11 1.867224703778357406e-05 2.342380311860516499e-08
7.345000000000000284e+01 5.044634333489136680e-11 1.852448711596666386e-05 2.342631379252214985e-08
7.350000000000000000e+01 5.045270045924620948e-11 1.837789660731494371e-05 2.342884568611801971e-08
7.354999999999999716e+01 5.045911092845714561e-11 1.823246625134406987e-05 2.343139896940309668e-08
7.360000000000000853e+01 5.046557519183666397e-11 1.808818686028770752e-05 2.343397381400859635e-08
7.365000000000000568e+01 5.047209365422844364e-11 1.794504934428237493e-05 2.343657039853755334e-08
7.370000000000000284e+01 5.047866678825702979e-11 1.780304465165162407e-05 2.343918889632272026e-08
7.375000000000000000e+01 5.048529505298808791e-11 1.766216381108808484e-05 2.344182948429966793e-08
7.379999999999999716e+01 5.049197890697180139e-11 1.752239792415590216e-05 2.344449234158530865e-08
7.385000000000000853e+01 5.049871881237885847e-11 1.738373816248171721e-05 2.344717764902796617e-08
7.390000000000000568e+01 5.050551523499384785e-11 1.724617576712628755e-05 2.344988558920931787e-08
7.395000000000000284e+01 5.051236864420867346e-11 1.710970204795573795e-05 2.345261634644629405e-08
7.400000000000000000e+01 5.051927953964938856e-11 1.697430839734698717e-05 2.345537010847043315e-08
7.404999999999999716e+01 5.052624841399724477e-11 1.683998626955346973e-05 2.345814706408860512e-08
7.410000000000000853e+01 5.053327573946538769e-11 1.670672717280204063e-05 2.346094740233363918e-08
7.415000000000000568e+01 5.054036200868645916e-11 1.657452269067338465e-05 2.346377131504182524e-08
7.420000000000000284e+01 5.054750771907476720e-11 1.644336447306070872e-05 2.346661899587034573e-08
7.425000000000000000e+01 5.055471337288970746e-11 1.631324423557906517e-05 2.346949064030361844e-08
7.429999999999999716e+01 5.056197947729921061e-11 1.618415375897447176e-05 2.347238644565960957e-08
7.435000000000000853e+01 5.056930654116400657e-11 1.605608489315307118e-05 2.347530661154273162e-08
7.440000000000000568e+01 5.057669506795346237e-11 1.592902956666065285e-05 2.347825134082348998e-08
7.445000000000000284e+01 5.058414558600120585e-11 1.580297974355393079e-05 2.348122083553335096e-08
7.450000000000000000e+01 5.059165861984870057e-11 1.567792746327320672e-05 2.348421530078204751e-08
7.454999999999999716e+01 5.059923469885924620e-11 1.555386482800459786e-05 2.348723494359951640e-08
7.460000000000000853e+01 5.060687435725756042e-11 1.543078400212284510e-05 2.349027997294548360e-08
7.465000000000000568e+01 5.061457813416926389e-11 1.530867721163429394e-05 2.349335059971905961e-08
7.470000000000000284e+01 5.062234657366046210e-11 1.518753674361950957e-05 2.349644703676829831e-08
7.475000000000000000e+01 5.063018022012110172e-11 1.506735496565899666e-05 2.349956950060368178e-08
7.479999999999999716e+01 5.063807962880776887e-11 1.494812428019956696e-05 2.350271820756415138e-08
7.485000000000000853e+01 5.064604535848745551e-11 1.482983715573715930e-05 2.350589337653306927e-08
7.490000000000000568e+01 5.065407797243962420e-11 1.471248612212921023e-05 2.350909522859560352e-08
7.495000000000000284e+01 5.066217803895651662e-11 1.459606376805969779e-05 2.351232398687969101e-08
7.500000000000000000e+01 5.067034613137556228e-11 1.448056274051276479e-05 2.351557987656823015e-08
7.504999999999999716e+01 5.067858282811175485e-11 1.436597574424615738e-05 2.351886312491128669e-08
7.510000000000000853e+01 5.068688872362555014e-11 1.425229555208486748e-05 2.352217396246255340e-08
7.515000000000000568e+01 5.069526441399256455e-11 1.413951499008452400e-05 2.352551262147239623e-08
7.520000000000000284e+01 5.070371048943816669e-11 1.402762692958586465e-05 2.352887933506062402e-08
7.525000000000000000e+01 5.071222755277890690e-11 1.391662430490337753e-05 2.353227433928968113e-08
7.529999999999999716e+01 5.072081621258393075e-11 1.380650010600013302e-05 2.353569787240757858e-08
7.535000000000000853e+01 5.072947708323711459e-11 1.369724737799071105e-05 2.353915017486344839e-08
7.540000000000000568e+01 5.073821078499928498e-11 1.358885922064426545e-05 2.354263148932305816e-08
7.545000000000000284e+01 5.074701794342396423e-11 1.348132879145605348e-05 2.354614206113959267e-08
7.550000000000000000e+01 5.075589918768786146e-11 1.337464931471078492e-05 2.354968213958870069e-08
7.554999999999999716e+01 5.076485515737646133e-11 1.326881404386734578e-05 2.355325197314917151e-08
7.560000000000000853e+01 5.077388649625278847e-11 1.316381629580612760e-05 2.355685181395052628e-08
7.565000000000000568e+01 5.078299385417960074e-11 1.305964944006334034e-05 2.356048191647863585e-08
7.570000000000000284e+01 5.079217788717637423e-11 1.295630689836274205e-05 2.356414253759496431e-08
7.575000000000000000e+01 5.080143925747619776e-11 1.285378214414767860e-05 2.356783393655578604e-08
7.579999999999999716e+01 5.081077863358274498e-11 1.275206870211297601e-05 2.357155637503141271e-08
7.585000000000000853e+01 5.082019667776963655e-11 1.265116016551276952e-05 2.357531011806996786e-08
7.590000000000000568e+01 5.082969407498145872e-11 1.255105015486210443e-05 2.357909543194703829e-08
7.595000000000000284e+01 5.083927151163581899e-11 1.245173234755615703e-05 2.358291258578363930e-08
7.600000000000000000e+01 5.084892967939609107e-11 1.235320047214238938e-05 2.358676185128595060e-08
7.604999999999999716e+01 5.085866927614882564e-11 1.225544830654940008e-05 2.359064350269530165e-08
7.610000000000000853e+01 5.086849100604173612e-11 1.215846967764568448e-05 2.359455781680882473e-08
7.615000000000000568e+01 5.087839557952163908e-11 1.206225846079852357e-05 2.359850507300011458e-08
7.620000000000000284e+01 5.088838373048409258e-11 1.196680858967176495e-05 2.360248555393392900e-08
7.625000000000000000e+01 5.089845618896533371e-11 1.187211403942156831e-05 2.360649954447768864e-08
7.629999999999999716e+01 5.090861368103435730e-11 1.177816882616785180e-05 2.361054733171621077e-08
7.635000000000000853e+01 5.091885694794301310e-11 1.168496701798924558e-05 2.361462920574755955e-08
7.640000000000000568e+01 5.092918673814406829e-11 1.159250272968310880e-05 2.361874545937839547e-08
7.645000000000000284e+01 5.093960380737059742e-11 1.150077012234889954e-05 2.362289638814633893e-08
7.650000000000000000e+01 5.095010891871530775e-11 1.140976340297182591e-05 2.362708229034227443e-08
7.654999999999999716e+01 5.096070284282844221e-11 1.131947682862991809e-05 2.363130346777655466e-08
7.660000000000000853e+01 5.097138635804159150e-11 1.122990470781159316e-05 2.363556022608032919e-08
7.665000000000000568e+01 5.098216024987744749e-11 1.114104137778580961e-05 2.363985287115402466e-08
7.670000000000000284e+01 5.099302531173325465e-11 1.105288122774391713e-05 2.364418171297992280e-08
7.675000000000000000e+01 5.100398234477270146e-11 1.096541869107440614e-05 2.364854706446857103e-08
7.680000000000001137e+01 5.101503215800589200e-11 1.087864824496966765e-05 2.365294924148487173e-08
7.685000000000000853e+01 5.102617556836927220e-11 1.079256441003292087e-05 2.365738856287415828e-08
7.690000000000000568e+01 5.103741340045323547e-11 1.070716175020735378e-05 2.366186535052691039e-08
7.695000000000000284e+01 5.104874646970807501e-11 1.062243488782471549e-05 2.366637993125520668e-08
7.700000000000000000e+01 5.106017562487507930e-11 1.053837846445577699e-05 2.367093263217465141e-08
7.705000000000001137e+01 5.107170171256564368e-11 1.045498717300460258e-05 2.367552378462340406e-08
7.710000000000000853e+01 5.108332558731425481e-11 1.037225574818898383e-05 2.368015372309464313e-08
7.715000000000000568e+01 5.109504811163415090e-11 1.029017896616931712e-05 2.368482278526529254e-08
7.720000000000000284e+01 5.110687015607301425e-11 1.020875164417771335e-05 2.368953131202476777e-08
7.725000000000000000e+01 5.111879259926866370e-11 1.012796864014699581e-05 2.369427964750371872e-08
7.730000000000001137e+01 5.113081634784289708e-11 1.004782486300613998e-05 2.369906814020638706e-08
7.735000000000000853e+01 5.114294229802124775e-11 9.968315251643403976e-06 2.370389714090108722e-08
7.740000000000000568e+01 5.115517135190099715e-11 9.889434783252142432e-06 2.370876700355087718e-08
7.745000000000000284e+01 5.116750442606383743e-11 9.811178477560782331e-06 2.371367808581831737e-08
7.750000000000000000e+01 5.117994244613869699e-11 9.733541393508442303e-06 2.371863074878864967e-08
7.755000000000001137e+01 5.119248634689660779e-11 9.656518628894989432e-06 2.372362535700069760e-08
7.760000000000000853e+01 5.120513707234555316e-11 9.580105320031223121e-06 2.372866227847779624e-08
7.765000000000000568e+01 5.121789557688994247e-11 9.504296646879721334e-06 2.373374188569285723e-08
7.770000000000000284e+01 5.123076282467046275e-11 9.429087828810964972e-06 2.373886455493681641e-08
7.775000000000000000e+01 5.124373978735376169e-11 9.354474112363147668e-06 2.374403066432665711e-08
7.780000000000001137e+01 5.125682744731856637e-11 9.280450786836760458e-06 2.374924059654896315e-08
7.785000000000000853e+01 5.127002679672051682e-11 9.207013178631983408e-06 2.375449473798696536e-08
7.790000000000000568e+01 5.128333883759089778e-11 9.134156650918568075e-06 2.375979347875486622e-08
7.795000000000000284e+01 5.129676458193541571e-11 9.061876603305923258e-06 2.376513721273214145e-08
7.800000000000000000e+01 5.131030505100205345e-11 8.990168473266777480e-06 2.377052633791838390e-08
7.805000000000001137e+01 5.132396127170065127e-11 8.919027743572917010e-06 2.377596125788715954e-08
7.810000000000000853e+01 5.133773428886275103e-11 8.848449916296336249e-06 2.378144237712821956e-08
7.815000000000000568e+01 5.135162515434022818e-11 8.778430535697511310e-06 2.378697010532594655e-08
7.820000000000000284e+01 5.136563493030625289e-11 8.708965181136354278e-06 2.379254485615814595e-08
7.825000000000000000e+01 5.137976468934526532e-11 8.640049466760745642e-06 2.379816704733374565e-08
7.830000000000001137e+01 5.139401551454291214e-11 8.571679041195048095e-06 2.380383710063048231e-08
7.835000000000000853e+01 5.140838849957599599e-11 8.503849587228733831e-06 2.380955544193260099e-08
7.840000000000000568e+01 5.142288476648858678e-11 8.436556832560084381e-06 2.381532250354103818e-08
7.845000000000000284e+01 5.143750542586445139e-11 8.369796524533131419e-06 2.382113871908213184e-08
7.850000000000000000e+01 5.145225160516339216e-11 8.303564447482465619e-06 2.382700452717468504e-08
7.855000000000001137e+01 5.146712444496031514e-11 8.237856420014633585e-06 2.383292037097285274e-08
7.860000000000000853e+01 5.148212509735726949e-11 8.172668293647946940e-06 2.383888669798825824e-08
7.865000000000000568e+01 5.149725472610132072e-11 8.107995952518346738e-06 2.384490396013126291e-08
7.870000000000000284e+01 5.151251450670237870e-11 8.043835313085455937e-06 2.385097261375224908e-08
7.875000000000000000e+01 5.152790563492508552e-11 7.980182330569660483e-06 2.385709312176369900e-08
7.880000000000001137e+01 5.154342931361371532e-11 7.917032987973098644e-06 2.386326595037841320e-08
7.885000000000000853e+01 5.155908675254500081e-11 7.854383295572696545e-06 2.386949156908494656e-08
7.890000000000000568e+01 5.157487917804390104e-11 7.792229298260528584e-06 2.387577045304894006e-08
7.895000000000000284e+01 5.159080782914039109e-11 7.730567072065952662e-06 2.388210308217016473e-08
7.900000000000000000e+01 5.160687395770785319e-11 7.669392723878086624e-06 2.388848994112888339e-08
7.905000000000001137e+01 5.162307882860149382e-11 7.608702391168309242e-06 2.389493151943227210e-08
7.910000000000000853e+01 5.163942371615997717e-11 7.548492244980671928e-06 2.390142831242174409e-08
7.915000000000000568e+01 5.165590990377652551e-11 7.488758490164084860e-06 2.390798082146926955e-08
7.920000000000000284e+01 5.167253869955357725e-11 7.429497351152625174e-06 2.391458954992379360e-08
7.925000000000000000e+01 5.168931141954644711e-11 7.370705086868946145e-06 2.392125500762183885e-08
7.930000000000001137e+01 5.170622939319004452e-11 7.312377985694897934e-06 2.392797770953651773e-08
7.935000000000000853e+01 5.172329396341988107e-11 7.254512365209760534e-06 2.393475817582852975e-08
7.940000000000000568e+01 5.174050648679303928e-11 7.197104571928306444e-06 2.394159693189716220e-08
7.945000000000000284e+01 5.175786833426563183e-11 7.140150981582375604e-06 2.394849450855469618e-08
7.950000000000000000e+01 5.177538090224316556e-11 7.083648007904740887e-06 2.395545144413235222e-08
7.955000000000001137e+01 5.179304558362280292e-11 7.027592078300187331e-06 2.396246827906392154e-08
7.960000000000000853e+01 5.181086379273807901e-11 6.971979654129164485e-06 2.396954556060408699e-08
7.965000000000000568e+01 5.182883695844514506e-11 6.916807224623531813e-06 2.397668384155675858e-08
7.970000000000000284e+01 5.184696652426156033e-11 6.862071306639538471e-06 2.398388368032942257e-08
7.975000000000000000e+01 5.186525394850510330e-11 6.807768444410725164e-06 2.399114564098747398e-08
7.980000000000001137e+01 5.188370070443260235e-11 6.753895209300826000e-06 2.399847029330856901e-08
7.985000000000000853e+01 5.190230833090733321e-11 6.700448207212641166e-06 2.400585821752358089e-08
7.990000000000000568e+01 5.192107832774514889e-11 6.647424062463097814e-06 2.401330999465124923e-08
7.995000000000000284e+01 5.194001221399719913e-11 6.594819426345960341e-06 2.402082621194547207e-08
8.000000000000000000e+01 5.195911153584483947e-11 6.542630978059899817e-06 2.402840746366904068e-08
8.005000000000001137e+01 5.197837785668846941e-11 6.490855422938676247e-06 2.403605435021582557e-08
8.010000000000000853e+01 5.199781275737771488e-11 6.439489492217952089e-06 2.404376747817360251e-08
8.015000000000000568e+01 5.201741783644163641e-11 6.388529942801975341e-06 2.405154746038688850e-08
